question,answer1,answer2,answer3,answer4
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Published 1925,,
What is the smallest bone in the human body?,Stapes,Located in the ear,,
Which country has the world's largest population?,India,Surpassed China around 2023,,
What is the chemical symbol for silver?,Ag,From Latin: Argentum,,
How many legs does a spider have?,8,,,
What is the tallest animal in the world?,Giraffe,Up to 5.5 metres tall,,
Who invented the airplane?,Wright Brothers,Orville and Wilbur Wright,First flight 1903,
What is the capital of Italy?,Rome,,,
How many seconds are in an hour?,"3,600",60 minutes x 60 seconds,,
Which planet is closest to the Sun?,Mercury,,,
What is the national flower of England?,Tudor rose,,,
Who was the first woman to win a Nobel Prize?,Marie Curie,Won in 1903 (Physics),,
How many sides does a triangle have?,3,,,
What is the largest country in South America?,Brazil,,,
Which organ produces insulin?,Pancreas,,,
What is the capital of Russia?,Moscow,,,
Who is credited with significantly improving the steam engine?,James Watt,"Improved Newcomen's engine, 1760s-70s",,
What is the freezing point of water?,0 degrees Celsius,32 degrees Fahrenheit,273.15 Kelvin,
How many players are on a basketball team?,5,Per side on the court,,
What is the most abundant element in the universe?,Hydrogen,About 75% of all matter,,
Who wrote 'Pride and Prejudice'?,Jane Austen,Published 1813,,
What is the capital of Spain?,Madrid,,,
How many ribs does a human have?,24,12 pairs,,
Which country invented paper?,China,Around 105 AD,,
What is the longest wall in the world?,Great Wall of China,"Over 21,000 km total",,
Who is the Greek god of the sea?,Poseidon,Roman equivalent: Neptune,,
How many ants are estimated to be on Earth?,Approximately 20 quadrillion,2024 estimate,,
What is the capital of Argentina?,Buenos Aires,,,
What is the rarest blood type?,AB negative,Less than 1% of population,,
Which planet rotates on its side?,Uranus,Axial tilt of 98 degrees,,
How many days are in a leap year?,366,Extra day: February 29,,
What is the chemical symbol for sodium?,Na,From Latin: Natrium,,
Who painted 'Starry Night'?,Vincent van Gogh,Painted in 1889,,
What is the largest organ inside the human body?,Liver,Weighs about 1.5 kg,,
Which country is home to the kangaroo?,Australia,,,
How many zeros are in one billion?,9,"1,000,000,000",,
What is the capital of Mexico?,Mexico City,,,
Who invented the printing press?,Johannes Gutenberg,Around 1440,,
What is the currency of China?,Renminbi,Yuan (CNY),Renminbi means 'people's currency',
How many chambers does the human heart have?,4,2 atria + 2 ventricles,,
Which body of water is the saltiest on Earth?,Dead Sea,About 34% salinity,,
What is the capital of South Korea?,Seoul,,,
Who wrote 'The Odyssey'?,Homer,Ancient Greek epic,,
What is the smallest continent?,Australia,,,
How many minutes are in a day?,"1,440",24 hours x 60 minutes,,
What is the national animal of Canada?,Beaver,,,
Which element has the symbol 'K'?,Potassium,From Latin: Kalium,,
Who sculpted 'David'?,Michelangelo,Completed 1504,,
What is the capital of Turkey?,Ankara,Not Istanbul,,
How many vertebrae does the human spine have?,33,Some fuse to 26 in adults,,
What is the fastest bird in the world?,Peregrine falcon,Over 320 km/h in a dive,,
Which country has the most volcanoes?,Indonesia,Over 130 active volcanoes,,
What is the capital of Nigeria?,Abuja,Not Lagos,,
Who is credited with inventing the telescope?,Hans Lippershey,Patent filed 1608,Galileo improved it,
How many planets in the solar system have rings?,4,"Jupiter, Saturn, Uranus, Neptune",,
What is the longest running animated TV show?,The Simpsons,Premiered 1989,,
What is the currency of India?,Indian Rupee,INR,100 paise = 1 rupee,
Which ocean lies between Europe and America?,Atlantic Ocean,,,
How many teeth can adult sharks have at one time?,Up to 300,Arranged in multiple rows,,
What is the capital of Saudi Arabia?,Riyadh,,,
Who proposed the theory of evolution by natural selection?,Charles Darwin,Published 'On the Origin of Species' in 1859,,
What is the most recycled material in the world?,Steel,,,
How many hours are in a week?,168,7 days x 24 hours,,
Which mountain range contains Mount Everest?,The Himalayas,,,
What is the chemical symbol for lead?,Pb,From Latin: Plumbum,,
Who wrote 'Don Quixote'?,Miguel de Cervantes,Published 1605,,
How many eyes does a bee have?,5,2 compound eyes + 3 simple eyes,,
Which planet has the longest day?,Venus,One Venus day = 243 Earth days,,
What is the largest lake in the world by surface area?,Caspian Sea,Often classified as a lake,,
Who invented dynamite?,Alfred Nobel,Patented in 1867,,
What is the capital of Thailand?,Bangkok,Official name: Krung Thep Maha Nakhon,,
How many liters of blood does an adult human body contain?,About 4.7 to 5.5 liters,Roughly 7-8% of body weight,,
Which country gifted the Statue of Liberty to the USA?,France,Unveiled in 1886,,
What is the chemical formula for table salt?,NaCl,Sodium chloride,,
Who was the first female Prime Minister of the UK?,Margaret Thatcher,Served 1979-1990,,
How many stars are on the American flag?,50,One per state,,
What is the largest rainforest in the world?,Amazon Rainforest,Located in South America,,
Which element is a diamond made of?,Carbon,Arranged in a crystal lattice,,
What is the capital of Kenya?,Nairobi,,,
How many bones does a shark have?,0,"Sharks are made of cartilage, not bone",,
Who wrote 'The Divine Comedy'?,Dante Alighieri,Written around 1308-1320,,
What is the fastest land animal in the world?,Cheetah,Up to 120 km/h,,
Which blood type is the universal donor?,O negative,Can donate to all blood types,,
What is the capital of Pakistan?,Islamabad,Not Karachi or Lahore,,
How many zeroes are in a googol?,100,10 to the power of 100,,
Who built the pyramids of Giza?,Ancient Egyptians,Built around 2560 BC,,
What is the lightest element on the periodic table?,Hydrogen,Atomic number 1,,
Which country has the most UNESCO World Heritage Sites?,Italy,As of recent years,,
What is the capital of Sweden?,Stockholm,,,
How many arms does a squid have?,10,8 arms + 2 longer tentacles,,
Who was the first Emperor of China?,Qin Shi Huang,Unified China in 221 BC,,
What is the main ingredient in guacamole?,Avocado,,,
How many stars does a U.S. Army general wear?,4,"5 stars = General of the Army, a wartime rank",,
What is the capital of the Netherlands?,Amsterdam,The Hague is the seat of government,,
Which planet is known as the 'Morning Star'?,Venus,Also visible as the 'Evening Star',,
How many chromosomes are in a human sperm cell?,23,Half the normal 46,,
Who is credited with inventing the radio?,Guglielmo Marconi,First long-distance transmission 1895,,
What is the world's largest archipelago?,Indonesia,"Over 17,000 islands",,
What is the capital of Poland?,Warsaw,,,
How many letters are in the Greek alphabet?,24,Alpha to Omega,,
Which is the only mammal capable of true flight?,Bat,,,
What is the national dish of Spain?,Paella,Originates from Valencia,,
Who was the longest-reigning British monarch?,Queen Elizabeth II,"Reigned 1952-2022, 70 years",,
What is the capital of Portugal?,Lisbon,,,
Approximately how many bones does a newborn baby have?,About 270 to 300,Fuse down to 206 in adulthood,,
Which planet has the Great Red Spot?,Jupiter,A storm larger than Earth,,
What is the tallest waterfall in the world?,Angel Falls,Located in Venezuela,979 metres tall,
Who wrote 'Hamlet'?,William Shakespeare,Written around 1600-1601,,
What is the currency of South Korea?,South Korean Won,KRW,Currency code: KRW,
How many grams are in a kilogram?,"1,000",,,
Which country is the origin of sushi?,Japan,,,
What is the chemical symbol for oxygen?,O,Atomic number 8,,
Who first circumnavigated the globe?,Ferdinand Magellan's expedition,Juan Sebastian Elcano completed it after Magellan died,Completed 1522,
What is the capital of Ukraine?,Kyiv,,,
How many time zones are there in the world?,24,,,
Which fruit is known as the 'King of Fruits'?,Durian,Native to Southeast Asia,,
What is the most widely spoken language in Africa?,Swahili,Also: Arabic has more total speakers,,
Who is credited as the first effective user of the microscope?,Antonie van Leeuwenhoek,17th century Dutch scientist,,
What is the capital of Vietnam?,Hanoi,,,
How many moons does Mars have?,2,Phobos and Deimos,,
Which is the only country that is also a continent?,Australia,,,
What is the currency of Mexico?,Mexican Peso,MXN,,
Who wrote 'Moby Dick'?,Herman Melville,Published 1851,,
What is the tallest building in the world?,Burj Khalifa,Located in Dubai,828 metres tall,
How many teeth does a snail have?,Thousands,"Up to 14,000 teeth on a radula",,
