id,fullName,shortName,category,sizing
IT135,Bag of crushed electrical copper wire insulation stripped off,Stripped Wire Insulation Bag,Compressed Trash,Small
IT136,"Bale of used plastic rice sacks, turned inside out and stacked",Flattened Rice Sack Bale,Compressed Trash,Small
IT137,"Stack of flattened milk cartons, 60 units, bound with elastic",Flattened Milk Carton Stack,Compressed Trash,Small
IT138,"Bundle of coiled used garden hose sections, five 2m pieces",Coiled Garden Hose Bundle,Compressed Trash,Small
IT139,"Sack of crushed plastic detergent bottle bottoms, sorted",Crushed Detergent Bottle Sack,Compressed Trash,Small
IT140,"Stack of old corrugated metal roofing sheets, flattened, 5 sheets",Flattened Corrugated Metal Sheet Stack,Compressed Trash,Large
IT141,"Bundle of folded used rice paper flour sacks, 20 units",Folded Flour Sack Bundle,Compressed Trash,Small
IT142,"Bale of compressed mixed color plastic straws, 300 count bag",Compressed Straw Bale,Compressed Trash,Small
IT143,"Stack of flattened woven plastic water sacks, 15 units, tied",Flattened Woven Water Sack Stack,Compressed Trash,Small
IT144,"Bundle of used rubber sandal soles stripped from uppers, 30 pairs",Stripped Sandal Sole Bundle,Compressed Trash,Small
IT145,"Sack of smashed brown glass beer bottles, sorted by type",Smashed Beer Bottle Sack,Compressed Trash,Small
IT146,"Compressed roll of used plastic tarpaulin sheet, blue, torn",Compressed Tarpaulin Roll,Compressed Trash,Large
IT147,"Stack of old laminated advertisement posters, rolled, 10 sheets",Rolled Advertisement Poster Stack,Compressed Trash,Large
IT148,"Bundle of flattened aluminum soft drink cans, 150 units baled",Flattened Soft Drink Can Bundle,Compressed Trash,Small
IT149,"Bag of used rubber band collections, sorted by width",Used Rubber Band Bag,Compressed Trash,Small
IT150,"Stack of compressed hard plastic food container lids, 80 units",Compressed Food Container Lid Stack,Compressed Trash,Small
IT151,"Bundle of coiled used rope, nylon type, various lengths, 10 pieces",Coiled Nylon Rope Bundle,Compressed Trash,Small
IT152,"Sack of sorted copper pipe offcuts from plumbing work, short",Copper Pipe Offcut Sack,Compressed Trash,Small
IT153,"Stack of old metal cookie tins flattened, label intact, 12 units",Flattened Cookie Tin Stack,Compressed Trash,Small
IT154,"Bundle of tied used cardboard egg cartons, flat, 25 units",Flat Egg Carton Bundle,Compressed Trash,Small
IT155,"Compressed roll of used wire mesh screen, rusty, 2 meters long",Compressed Wire Mesh Roll,Compressed Trash,Large
IT156,"Stack of flattened black plastic rubbish bags, used, 50 units",Flattened Rubbish Bag Stack,Compressed Trash,Small
IT157,"Bundle of smashed ceramic tiles, sorted by pattern, 30 pieces",Smashed Ceramic Tile Bundle,Compressed Trash,Small
IT158,"Bale of used translucent plastic sheeting folded flat, 5 layers",Compressed Plastic Sheeting Bale,Compressed Trash,Large
IT159,"Bag of stripped aluminum foil from cigarette pack liners, loose",Stripped Cigarette Foil Bag,Compressed Trash,Small
IT160,"Stack of flattened plastic potted plant containers, 30 units",Flattened Plant Pot Stack,Compressed Trash,Small
IT161,Bundle of compressed foam rubber offcuts from mattress work,Compressed Foam Rubber Bundle,Compressed Trash,Large
IT162,"Sack of sorted used steel bottle caps, mixed brands, 500 count",Steel Bottle Cap Sack,Compressed Trash,Small
IT163,"Stack of folded used plastic drop cloths, 6 units, large size",Folded Plastic Drop Cloth Stack,Compressed Trash,Large
IT164,Bundle of flattened stainless steel food packaging containers,Flattened Steel Food Container Bundle,Compressed Trash,Small
IT165,"Bag of sorted broken ceramic pot shards, flower pot type",Broken Ceramic Pot Shard Bag,Compressed Trash,Small
IT166,"Stack of compressed used styrofoam food trays, 40 units baled",Compressed Styrofoam Food Tray Stack,Compressed Trash,Large
IT167,"Bundle of tied together glass medicine bottles, 50 units small",Glass Medicine Bottle Bundle,Compressed Trash,Small
IT168,"Sack of used wooden chopstick bundles, sorted and compressed",Used Wooden Chopstick Sack,Compressed Trash,Small
IT169,"Roll of old wire fence stripped from demolition site, coiled",Coiled Old Wire Fence Roll,Compressed Trash,Large
IT170,"Stack of folded used burlap sacks, natural fiber, 20 units",Folded Burlap Sack Stack,Compressed Trash,Small
IT171,"Bundle of flattened plastic motor oil bottles, 1-liter type",Flattened Motor Oil Bottle Bundle,Compressed Trash,Small
IT172,"Bag of sorted used hardware nails and screws, mixed sizes",Mixed Nail and Screw Bag,Compressed Trash,Small
IT173,"Stack of old wooden pallets, stacked flat, three units",Stacked Wooden Pallet Set,Compressed Trash,Large
IT174,"Bundle of used flip-flop sandals, sorted by size, 20 pairs",Sorted Flip-Flop Bundle,Compressed Trash,Small
IT175,"Compressed sack of mixed polypropylene plastic scraps, sorted",Polypropylene Scrap Sack,Compressed Trash,Small
IT176,"Stack of old car battery casings, acid drained, stacked 5 units",Stacked Empty Car Battery Casings,Compressed Trash,Small
IT177,"Bundle of coiled used black irrigation hose, 3 sections",Coiled Irrigation Hose Bundle,Compressed Trash,Large
IT178,"Sack of collected used metal spoons, sorted by size, 50 units",Used Metal Spoon Sack,Compressed Trash,Small
IT179,"Stack of compressed used foam pool noodles, 8 units, banded",Compressed Pool Noodle Stack,Compressed Trash,Large
IT180,"Bundle of tied used canning jar lids, glass seal type, 60 units",Used Canning Jar Lid Bundle,Compressed Trash,Small
IT181,"Bale of sorted, flattened used waxed cardboard, 20 sheets",Flattened Waxed Cardboard Bale,Compressed Trash,Large
IT182,"Used clay brick with mortar residue, standard Thai size 190x90x57mm",Used Clay Brick,Non-professional Construction Material,Small
IT183,"Recycled concrete block, hollow type, standard 400x200x200mm",Hollow Concrete Block,Non-professional Construction Material,Large
IT184,"Salvaged galvanized corrugated iron roofing sheet, 1.8m length",Galvanized Roofing Sheet,Non-professional Construction Material,Large
IT185,"Bag of mixed aggregate sand and gravel, 20kg, tied at top",Sand and Gravel Bag,Non-professional Construction Material,Small
IT186,"Used roof tile, Thai traditional clay type, red-orange glaze",Traditional Clay Roof Tile,Non-professional Construction Material,Small
IT187,"Recycled concrete paving stone, square, 300x300x50mm",Recycled Concrete Paving Stone,Non-professional Construction Material,Small
IT188,"Salvaged timber plank, 2400x150x25mm, de-nailed, rough cut",Salvaged Timber Plank,Non-professional Construction Material,Large
IT189,"Length of PVC pipe, 100mm diameter, 2 meter section, used",Used PVC Pipe Section,Non-professional Construction Material,Large
IT190,"Bag of Portland cement, partially used, resecured with tape, 15kg",Partially Used Cement Bag,Non-professional Construction Material,Small
IT191,"Salvaged steel reinforcement bar (rebar), 12mm, 2m length, bent",Bent Steel Rebar Section,Non-professional Construction Material,Large
IT192,"Used ceramic floor tile, light grey, 300x300mm, unbroken",Used Ceramic Floor Tile,Non-professional Construction Material,Small
IT193,Salvaged wooden door frame with hinge plates but no door,Salvaged Wooden Door Frame,Non-professional Construction Material,Large
IT194,"Length of galvanized steel angle bar, 50x50x5mm, 2m section",Galvanized Steel Angle Bar,Non-professional Construction Material,Large
IT195,"Bag of lime powder in resecured plastic bag, 10kg, construction grade",Lime Powder Bag,Non-professional Construction Material,Small
IT196,"Roll of used reinforcing mesh wire, 1x1m section, flattened",Used Reinforcing Wire Mesh Roll,Non-professional Construction Material,Small
IT197,Salvaged wooden window frame with frosted glass panes intact,Salvaged Wooden Window Frame,Non-professional Construction Material,Large
IT198,"Pile of used fired clay roofing ridge tiles, 8 units",Used Clay Ridge Tile Pile,Non-professional Construction Material,Small
IT199,"Length of used black iron water pipe, 20mm diameter, 1.5m",Used Iron Water Pipe Section,Non-professional Construction Material,Large
IT200,"Salvaged flat concrete paving slab, 600x400x60mm, cracked edge",Salvaged Concrete Paving Slab,Non-professional Construction Material,Large
IT201,"Used white wall tile, 100x100mm, box of 50 pieces, intact",Box of Used White Wall Tiles,Non-professional Construction Material,Small
IT202,"Salvaged galvanized steel C-channel section, 75mm, 2m length",Galvanized Steel C-Channel Section,Non-professional Construction Material,Large
IT203,"Length of flexible conduit electrical tubing, 25mm, 3m coil",Flexible Conduit Tubing Coil,Non-professional Construction Material,Large
IT204,"Bag of white sand for plastering, 25kg, partially used",Plastering White Sand Bag,Non-professional Construction Material,Small
IT205,"Salvaged concrete kerbstone section, 500x150x200mm, chipped",Salvaged Concrete Kerbstone,Non-professional Construction Material,Small
IT206,"Used black polythene damp-proof membrane roll, 1x2m piece",Black Polythene DPM Roll,Non-professional Construction Material,Large
IT207,"Salvaged aluminum window sliding frame, 1x1.2m, no glass",Salvaged Aluminum Window Frame,Non-professional Construction Material,Large
IT208,"Bundle of used wooden battens, 38x19mm, assorted lengths, 10 pieces",Used Wooden Batten Bundle,Non-professional Construction Material,Large
IT209,"Used asphalt roofing felt roll, 1m wide, partial roll, 2m length",Partial Asphalt Roofing Felt Roll,Non-professional Construction Material,Large
IT210,"Salvaged concrete step section, 900x250x150mm, single unit",Salvaged Concrete Step Section,Non-professional Construction Material,Large
IT211,"Length of used HDPE water supply pipe, 32mm, 2m section",Used HDPE Water Pipe Section,Non-professional Construction Material,Large
IT212,"Bag of mixed ceramic tile adhesive mortar, 10kg, dried lumps removed",Ceramic Tile Adhesive Bag,Non-professional Construction Material,Small
IT213,"Salvaged hardwood floor board, 2400x90x18mm, tongue and groove",Salvaged Hardwood Floorboard,Non-professional Construction Material,Large
IT214,"Used aluminum door threshold strip, 900mm length, bent at end",Aluminum Door Threshold Strip,Non-professional Construction Material,Small
IT215,"Bundle of bamboo poles, 50mm diameter, 2m length, 6 poles tied",Bamboo Pole Bundle,Non-professional Construction Material,Large
IT216,"Salvaged steel flat bar, 50x6mm, 2m length, surface rust",Salvaged Steel Flat Bar,Non-professional Construction Material,Large
IT217,"Used plastic floor grating section, grey, 500x500mm, non-slip",Plastic Floor Grating Section,Non-professional Construction Material,Small
IT218,"Bag of mixed hydraulic lime, 15kg, partially used bag sealed",Hydraulic Lime Mix Bag,Non-professional Construction Material,Small
IT219,"Salvaged fired clay airbrick, standard 225x112x75mm, intact voids",Salvaged Clay Airbrick,Non-professional Construction Material,Small
IT220,"Length of steel square hollow section tube, 50x50x3mm, 2m",Steel Square Hollow Section,Non-professional Construction Material,Large
IT221,"Stack of salvaged concrete roof tiles, flat type, 10 units",Salvaged Flat Concrete Roof Tiles,Non-professional Construction Material,Small
IT222,"Partial bag of premixed ready-mix concrete, 20kg, hardened lumps removed",Ready-Mix Concrete Bag,Non-professional Construction Material,Small
IT223,"Bundle of used galvanized mild steel wire, 2mm gauge, coiled 5m",Galvanized Steel Wire Bundle,Non-professional Construction Material,Small
IT224,"Salvaged pressed metal ceiling panel, 600x600mm embossed pattern",Salvaged Metal Ceiling Panel,Non-professional Construction Material,Small
IT225,"Used zinc-coated steel downpipe section, 75mm, 1.5m length",Zinc Steel Downpipe Section,Non-professional Construction Material,Large
IT226,"Bag of perlite aggregate insulation material, 10L bag, loose fill",Perlite Aggregate Bag,Non-professional Construction Material,Small
IT227,"Salvaged concrete drainage channel section, U-type 300x150x500mm",Salvaged Concrete Drainage Section,Non-professional Construction Material,Small
IT228,"Length of recycled steel road form shuttering, 2m, perforated",Recycled Steel Shuttering Strip,Non-professional Construction Material,Large
IT229,"Used rubble stone pieces from demolished wall, limestone type, 10kg",Limestone Rubble Pieces,Non-professional Construction Material,Small
IT230,"Salvaged translucent polycarbonate roofing sheet, 1.8m, cracked",Salvaged Polycarbonate Roofing Sheet,Non-professional Construction Material,Large
IT231,"Length of used copper plumbing pipe, 15mm, 1m section, bent",Used Copper Plumbing Pipe,Non-professional Construction Material,Small
IT232,"Bag of fine graded river sand for concrete mixing, 20kg",River Sand for Concrete Bag,Non-professional Construction Material,Small
IT233,"Salvaged steel angle lintel, 75x50x6mm, 1.2m length",Steel Angle Lintel,Non-professional Construction Material,Large
IT234,"Pile of used concrete roof insulation perlite slabs, 3 units",Concrete Insulation Slab Pile,Non-professional Construction Material,Large
IT235,"Salvaged glazed terracotta coping tile, 300mm length, blue glaze",Glazed Terracotta Coping Tile,Non-professional Construction Material,Small
IT236,"Used PVC rainwater gutter section, 110mm, 2m length, clip on",Used PVC Rainwater Gutter,Non-professional Construction Material,Large
IT237,"Bundle of jute rope, 12mm diameter, 10m length, construction grade",Construction Jute Rope Bundle,Non-professional Construction Material,Large
IT238,"Salvaged fired clay floor quarry tile, 150x150mm, unglazed red",Salvaged Clay Quarry Tile,Non-professional Construction Material,Small
IT239,"Stack of used hollow concrete interlocking paving blocks, 6 units",Interlocking Concrete Paving Blocks,Non-professional Construction Material,Small
IT240,"Bag of ground granulated blast furnace slag for concrete mix, 10kg",GGBS Concrete Mix Bag,Non-professional Construction Material,Small
IT241,"Salvaged aluminum flat sheet, 600x1200x2mm, surface oxidized",Salvaged Aluminum Flat Sheet,Non-professional Construction Material,Large
IT242,Front outboard motor cowling shell from old Yamaha 40HP engine,Outboard Motor Cowling Shell,Scrap Parts,Small
IT243,"Single wooden chair leg with mortise joint, turned style, hardwood",Turned Wooden Chair Leg,Scrap Parts,Small
IT244,"Tabletop from broken Thai restaurant folding table, formica laminate",Formica Laminate Tabletop,Scrap Parts,Large
IT245,"Bow section of fiberglass longtail canal boat, cracked hull",Fiberglass Boat Bow Section,Scrap Parts,Large
IT246,"Washing machine drum, stainless steel perforated barrel, no motor",Washing Machine Drum,Scrap Parts,Small
IT247,"Single car door, white, from Toyota Corolla sedan, dented",Toyota Corolla Car Door,Scrap Parts,Large
IT248,"Motorcycle fuel tank from Honda Wave 110, dented, chrome cap",Honda Wave Fuel Tank,Scrap Parts,Small
IT249,"Gas stove cast iron burner grate set, two burners, complete",Gas Stove Burner Grate Set,Scrap Parts,Small
IT250,Push cart wheel axle assembly with two solid rubber wheels,Cart Wheel Axle Assembly,Scrap Parts,Small
IT251,"Drawer unit from old wooden wardrobe, two drawers with handles",Wardrobe Drawer Unit,Scrap Parts,Small
IT252,"Used tuk-tuk rear seat bench cushion with vinyl cover, cracked",Tuk-Tuk Rear Seat Cushion,Scrap Parts,Large
IT253,"Single wooden staircase step section, hardwood, paint stripped",Wooden Staircase Step Section,Scrap Parts,Large
IT254,Outboard motor propeller shaft assembly from old Suzuki engine,Outboard Motor Propeller Shaft,Scrap Parts,Small
IT255,"Refrigerator compressor unit, small, from broken household fridge",Fridge Compressor Unit,Scrap Parts,Small
